Category	Dates	Chlorophyll a [µg/L]	Salinity	Temperature (°C)	Depth
SRN1 Dunkerque	1995-07-12	9.2	33.63		0.5
SRN1 Dunkerque	1995-08-10	18.4	31.16	20	0.5
SRN1 Dunkerque	1995-10-26	2.6	33.85	15	0.5
SRN1 Dunkerque	1995-11-08	3.9	34.22		0.5
SRN1 Dunkerque	1995-12-19	1.4	32.13	5.5	0.5
SRN1 Dunkerque	1995-12-19	1.4	32.13	5.5	0.5
SRN1 Dunkerque	1996-01-11	3.2	34.24	6.5	0.5
SRN1 Dunkerque	1996-02-15	7	34.15	4.5	0.5
SRN1 Dunkerque	1996-03-14	4.5	34.37	4.5	0.5
SRN1 Dunkerque	1996-04-09	45.5	33.89	6	0.5
SRN1 Dunkerque	1996-04-29	12	34.46	10	0.5
SRN1 Dunkerque	1996-05-13	5.8	32.51	10.5	0.5
SRN1 Dunkerque	1996-05-28	17.7	34.35		0.5
SRN1 Dunkerque	1996-06-04	5.8	34.7		0.5
SRN1 Dunkerque	1996-06-19	5.3	34.81	16	0.5
SRN1 Dunkerque	1996-08-20	4.5	34.99	20	0.5
SRN1 Dunkerque	1996-09-26	6.8	33.34	15	0.5
SRN1 Dunkerque	1996-11-25	2.1	34.65	8.5	0.5
SRN1 Dunkerque	1996-12-09	1.9	34.22	6.5	0.5
SRN1 Dunkerque	1997-01-14	1.5	33.61	1	0.5
SRN1 Dunkerque	1997-03-04	8	34.59	7	0.5
SRN1 Dunkerque	1997-03-12	11	34.8		0.5
SRN1 Dunkerque	1997-03-24	21.4	34.43	9	0.5
SRN1 Dunkerque	1997-04-16	13.1	34.73	10	0.5
SRN1 Dunkerque	1997-04-30	1.7	34.09	10.5	0.5
SRN1 Dunkerque	1997-05-13	5.8	34.23	12	0.5
SRN1 Dunkerque	1997-05-26	2.1	34.41	12.5	0.5
SRN1 Dunkerque	1997-06-05	3.7	32.8	15	0.5
SRN1 Dunkerque	1997-06-24	2.6	34.6	16	0.5
SRN1 Dunkerque	1997-07-22	3.52	34.75		0.5
SRN1 Dunkerque	1995-01-18	1.6	33.97	6.5	0.5
SRN1 Dunkerque	1995-02-13	1.8	31.97	9	0.5
SRN1 Dunkerque	1995-03-09	5.2	32.12	8	0.5
SRN1 Dunkerque	1995-03-22	12.5	33.45	8	0.5
SRN1 Dunkerque	1995-04-05	14.2	33.94	9.2	0.5
SRN1 Dunkerque	1995-05-03	17.1	33.53	11	0.5
SRN1 Dunkerque	1995-06-01	20.2	33.67	11	0.5
SRN1 Dunkerque	1998-03-10		33.91	8	0.5
SRN1 Dunkerque	1998-04-09	10.8	34.63	10	0.5
SRN1 Dunkerque	1998-04-28	6.3	34.67	11.4	0.5
SRN1 Dunkerque	1998-05-13	3.87	34.73	14	0.5
SRN1 Dunkerque	1998-05-26	3.2	34.83	14.5	0.5
SRN1 Dunkerque	1998-06-11	5.1	34.78	16	0.5
SRN1 Dunkerque	1998-06-25	16.6	34.76	17	0.5
SRN1 Dunkerque	1998-08-06	3.1	34.56		0.5
SRN1 Dunkerque	1998-09-21	5.2	34.74	16.9	0.5
SRN1 Dunkerque	1998-11-23	2.14	31.52		0.5
SRN1 Dunkerque	1998-12-08	2	34.03	6.6	0.5
SRN1 Dunkerque	1999-01-21	2.4	33.71	8.3	0.5
SRN1 Dunkerque	1999-02-16	6.1	33.16	5.9	0.5
SRN1 Dunkerque	1999-03-04	6	33.63	7.7	0.5
SRN1 Dunkerque	1999-03-17	6.81	33.48		0.5
SRN1 Dunkerque	1999-11-30	0.8	33.41		0.5
SRN1 Dunkerque	2000-02-23	4	33.76	7.1	0.5
SRN1 Dunkerque	2000-05-12	3.6	34.31	11.7	0.5
SRN1 Dunkerque	2000-06-16	18.8	34.06	15.8	0.5
SRN1 Dunkerque	2000-09-19	12.7	34.15		0.5
SRN1 Dunkerque	2000-12-20	1.4	33.79	10.3	0.5
SRN1 Dunkerque	2001-01-30	3.46	33.57	7	0.5
SRN1 Dunkerque	2001-02-19	8.24	33.9	19.1	0.5
SRN1 Dunkerque	2002-09-18	5.07	33.5	18	0.5
SRN1 Dunkerque	2002-10-30	2.46	34.1	12.7	0.5
SRN1 Dunkerque	2002-11-20	0.24	32.9	12.2	0.5
SRN1 Dunkerque	2002-12-18	0.24	33.6	7.4	0.5
SRN1 Dunkerque	2003-02-13	2.72	33.7	5.9	0.5
SRN1 Dunkerque	2003-03-19	11.77	33.7	7.2	0.5
SRN1 Dunkerque	2003-04-07	19.92	32.8	8.1	0.5
SRN1 Dunkerque	2003-04-24	15.02	33.2	9.9	0.5
SRN1 Dunkerque	2003-06-03	5.7	33.9	15.3	0.5
SRN1 Dunkerque	2003-06-17	3.31	34.48	16.58	0.5
